EjerciciosDia.id,EjerciciosDia.userName,EjerciciosDia.idCurso,EjerciciosDia.fecha,EjerciciosDia.total
781,432871697,3,2019-07-24 00:00:00,3
754,438287293,1,2019-07-24 00:00:00,4
777,433152996,1,2019-07-24 00:00:00,1
926,458032095,3,2019-07-25 00:00:00,8
769,432785497,1,2019-07-24 00:00:00,2
796,433142897,3,2019-07-24 00:00:00,3
773,446753891,1,2019-07-24 00:00:00,4
811,432654793,3,2019-07-24 00:00:00,2
774,438256291,3,2019-07-24 00:00:00,4
766,431950193,1,2019-07-24 00:00:00,10
808,433948090,3,2019-07-24 00:00:00,3
954,457343199,3,2019-07-25 00:00:00,5
1194,431998697,3,2019-07-25 00:00:00,3
1037,446476294,3,2019-07-25 00:00:00,16
1292,458102399,1,2019-07-25 00:00:00,11
2456,442846390,3,2019-07-28 00:00:00,2
957,456686993,3,2019-07-25 00:00:00,10
961,433007494,3,2019-07-25 00:00:00,10
970,435640097,3,2019-07-25 00:00:00,8
902,432413599,1,2019-07-25 00:00:00,9
901,453805193,1,2019-07-25 00:00:00,9
925,440174292,3,2019-07-25 00:00:00,9
965,433046297,1,2019-07-25 00:00:00,7
915,454480595,1,2019-07-25 00:00:00,8
927,447664292,3,2019-07-25 00:00:00,9
958,440425490,3,2019-07-25 00:00:00,7
1245,433092795,3,2019-07-25 00:00:00,7
962,431944294,3,2019-07-25 00:00:00,9
1111,432412297,3,2019-07-25 00:00:00,3
971,443368795,3,2019-07-25 00:00:00,8
969,432432998,3,2019-07-25 00:00:00,15
890,vortega,3,2019-07-25 00:00:00,42
907,454805197,1,2019-07-25 00:00:00,9
1061,433123896,3,2019-07-25 00:00:00,6
910,442854597,1,2019-07-25 00:00:00,9
891,442134292,3,2019-07-25 00:00:00,15
900,432067393,1,2019-07-25 00:00:00,9
911,432506992,1,2019-07-25 00:00:00,9
929,457417790,3,2019-07-25 00:00:00,9
909,437795499,1,2019-07-25 00:00:00,9
1126,453840493,3,2019-07-25 00:00:00,3
1112,432533697,3,2019-07-25 00:00:00,3
1193,446795797,3,2019-07-25 00:00:00,3
1177,445716495,3,2019-07-25 00:00:00,3
930,433165697,3,2019-07-25 00:00:00,9
1109,431951398,3,2019-07-25 00:00:00,3
1243,445208297,3,2019-07-25 00:00:00,8
1077,433257795,3,2019-07-25 00:00:00,5
1153,437245596,1,2019-07-25 00:00:00,7
1119,433283499,3,2019-07-25 00:00:00,5
1032,436313598,3,2019-07-25 00:00:00,9
1202,438503098,3,2019-07-25 00:00:00,9
1199,437927594,3,2019-07-25 00:00:00,5
1269,447679593,3,2019-07-25 00:00:00,7
1288,458000292,1,2019-07-25 00:00:00,13
1053,447387598,3,2019-07-25 00:00:00,17
1248,450171197,3,2019-07-25 00:00:00,7
1196,439107597,3,2019-07-25 00:00:00,3
1026,457853193,3,2019-07-25 00:00:00,10
1237,432985999,3,2019-07-25 00:00:00,7
1023,435782593,3,2019-07-25 00:00:00,22
1081,436549595,3,2019-07-25 00:00:00,7
1260,453810691,3,2019-07-25 00:00:00,7
1031,433011891,3,2019-07-25 00:00:00,11
1076,439402991,3,2019-07-25 00:00:00,7
1239,433879298,3,2019-07-25 00:00:00,1
1027,442518897,3,2019-07-25 00:00:00,17
1033,433013498,3,2019-07-25 00:00:00,7
1049,439666395,3,2019-07-25 00:00:00,21
1263,453261191,3,2019-07-25 00:00:00,7
963,433937196,3,2019-07-25 00:00:00,17
1057,436799793,3,2019-07-25 00:00:00,12
1110,433934090,3,2019-07-25 00:00:00,7
1020,433904792,3,2019-07-25 00:00:00,30
1036,442640397,3,2019-07-25 00:00:00,25
1075,439070596,1,2019-07-25 00:00:00,36
1133,453804398,3,2019-07-25 00:00:00,10
1250,433104391,1,2019-07-25 00:00:00,10
1200,439012596,1,2019-07-25 00:00:00,6
1289,432779593,1,2019-07-25 00:00:00,8
1029,448439397,3,2019-07-25 00:00:00,17
1238,432511197,3,2019-07-25 00:00:00,17
1197,433246294,3,2019-07-25 00:00:00,6
1357,433449997,3,2019-07-25 00:00:00,6
1359,442840492,3,2019-07-25 00:00:00,6
1356,433021798,3,2019-07-25 00:00:00,6
1283,435135899,1,2019-07-25 00:00:00,24
1287,433886790,1,2019-07-25 00:00:00,9
1284,443403696,1,2019-07-25 00:00:00,13
1034,443309993,3,2019-07-25 00:00:00,17
2049,438526799,1,2019-07-26 00:00:00,35
1285,448423790,1,2019-07-25 00:00:00,15
966,439080498,3,2019-07-25 00:00:00,8
271,433239295,1,2019-07-24 00:00:00,5
250,432516692,3,2019-07-24 00:00:00,1
283,432412297,3,2019-07-24 00:00:00,2
240,431951398,3,2019-07-24 00:00:00,8
258,448439397,3,2019-07-24 00:00:00,1
285,442969993,1,2019-07-24 00:00:00,13
270,454114799,1,2019-07-24 00:00:00,12
239,439855893,3,2019-07-24 00:00:00,2
273,433050294,1,2019-07-24 00:00:00,3
245,436799793,3,2019-07-24 00:00:00,2
247,452856090,1,2019-07-24 00:00:00,3
242,432766391,3,2019-07-24 00:00:00,2
238,458101792,1,2019-07-24 00:00:00,12
274,432533697,3,2019-07-24 00:00:00,4
229,438977398,1,2019-07-24 00:00:00,7
286,432169496,3,2019-07-24 00:00:00,3
1013,432931094,1,2019-07-25 00:00:00,1
277,439012596,1,2019-07-24 00:00:00,5
268,442864895,1,2019-07-24 00:00:00,3
536,432409796,3,2019-07-24 00:00:00,2
702,434118599,3,2019-07-24 00:00:00,1
256,439915391,3,2019-07-24 00:00:00,6
244,439766792,3,2019-07-24 00:00:00,4
